"pagename","pageviewcount","datetime"
ВКонтакте,154,2025-03-20 12:00:00.000
Яндекс,927,2025-03-20 12:00:00.000
Mail.ru,70,2025-03-20 12:00:00.000
ВКонтакте,124,2025-03-21 12:00:00.000
Яндекс,1147,2025-03-21 12:00:00.000
Mail.ru,55,2025-03-21 12:00:00.000
ВКонтакте,294,2025-03-22 12:00:00.000
Яндекс,589,2025-03-22 12:00:00.000
Mail.ru,35,2025-03-22 12:00:00.000
ВКонтакте,122,2025-03-23 12:00:00.000
Яндекс,588,2025-03-23 12:00:00.000
Mail.ru,28,2025-03-23 12:00:00.000
ВКонтакте,168,2025-03-24 12:00:00.000
Яндекс,960,2025-03-24 12:00:00.000
Mail.ru,44,2025-03-24 12:00:00.000
ВКонтакте,309,2025-03-25 12:00:00.000
Яндекс,895,2025-03-25 12:00:00.000
Mail.ru,77,2025-03-25 12:00:00.000
ВКонтакте,274,2025-03-26 12:00:00.000
Яндекс,906,2025-03-26 12:00:00.000
Mail.ru,55,2025-03-26 12:00:00.000
ВКонтакте,195,2025-03-27 12:00:00.000
Яндекс,1136,2025-03-27 12:00:00.000
Mail.ru,64,2025-03-27 12:00:00.000
ВКонтакте,136,2025-03-28 12:00:00.000
Яндекс,984,2025-03-28 12:00:00.000
Mail.ru,54,2025-03-28 12:00:00.000
ВКонтакте,81,2025-03-29 12:00:00.000
Яндекс,1015,2025-03-29 12:00:00.000
Mail.ru,25,2025-03-29 12:00:00.000
ВКонтакте,247,2025-03-30 12:00:00.000
Яндекс,985,2025-03-30 12:00:00.000
Mail.ru,40,2025-03-30 12:00:00.000
ВКонтакте,252,2025-03-31 12:00:00.000
Яндекс,936,2025-03-31 12:00:00.000
Mail.ru,74,2025-03-31 12:00:00.000
ВКонтакте,307,2025-04-01 12:00:00.000
Яндекс,939,2025-04-01 12:00:00.000
Mail.ru,78,2025-04-01 12:00:00.000
ВКонтакте,163,2025-04-02 12:00:00.000
Яндекс,754,2025-04-02 12:00:00.000
Mail.ru,61,2025-04-02 12:00:00.000
ВКонтакте,120,2025-04-03 12:00:00.000
Яндекс,794,2025-04-03 12:00:00.000
Mail.ru,80,2025-04-03 12:00:00.000
ВКонтакте,73,2025-01-06 02:00:00.000
Яндекс,741,2025-01-06 02:00:00.000
Mail.ru,9,2025-01-06 02:00:00.000
ВКонтакте,103,2025-01-07 02:00:00.000
Яндекс,736,2025-01-07 02:00:00.000
Mail.ru,15,2025-01-07 02:00:00.000
ВКонтакте,87,2025-01-08 02:00:00.000
Яндекс,900,2025-01-08 02:00:00.000
Mail.ru,12,2025-01-08 02:00:00.000
ВКонтакте,82,2025-01-09 02:00:00.000
Яндекс,1026,2025-01-09 02:00:00.000
Mail.ru,29,2025-01-09 02:00:00.000
ВКонтакте,111,2025-01-10 02:00:00.000
Яндекс,1100,2025-01-10 02:00:00.000
Mail.ru,25,2025-01-10 02:00:00.000
ВКонтакте,60,2025-01-11 02:00:00.000
Яндекс,1011,2025-01-11 02:00:00.000
Mail.ru,14,2025-01-11 02:00:00.000
ВКонтакте,91,2025-01-12 02:00:00.000
Яндекс,1086,2025-01-12 02:00:00.000
Mail.ru,10,2025-01-12 02:00:00.000
ВКонтакте,96,2025-01-13 02:00:00.000
Яндекс,1141,2025-01-13 02:00:00.000
Mail.ru,25,2025-01-13 02:00:00.000
ВКонтакте,81,2025-01-14 02:00:00.000
Яндекс,990,2025-01-14 02:00:00.000
Mail.ru,23,2025-01-14 02:00:00.000
ВКонтакте,90,2025-01-15 02:00:00.000
Яндекс,1083,2025-01-15 02:00:00.000
Mail.ru,23,2025-01-15 02:00:00.000
ВКонтакте,82,2025-01-16 02:00:00.000
Яндекс,1183,2025-01-16 02:00:00.000
Mail.ru,23,2025-01-16 02:00:00.000
ВКонтакте,48,2025-01-17 02:00:00.000
Яндекс,1152,2025-01-17 02:00:00.000
Mail.ru,29,2025-01-17 02:00:00.000
ВКонтакте,65,2025-01-18 02:00:00.000
Яндекс,1323,2025-01-18 02:00:00.000
Mail.ru,19,2025-01-18 02:00:00.000
ВКонтакте,58,2025-01-19 02:00:00.000
Яндекс,1218,2025-01-19 02:00:00.000
Mail.ru,9,2025-01-19 02:00:00.000
ВКонтакте,104,2025-01-20 02:00:00.000
Яндекс,1142,2025-01-20 02:00:00.000
Mail.ru,31,2025-01-20 02:00:00.000
ВКонтакте,42,2025-01-21 02:00:00.000
Яндекс,1441,2025-01-21 02:00:00.000
Mail.ru,19,2025-01-21 02:00:00.000
ВКонтакте,52,2025-01-22 02:00:00.000
Яндекс,1786,2025-01-22 02:00:00.000
Mail.ru,28,2025-01-22 02:00:00.000
ВКонтакте,52,2025-01-23 02:00:00.000
Яндекс,1554,2025-01-23 02:00:00.000
Mail.ru,22,2025-01-23 02:00:00.000
ВКонтакте,55,2025-01-24 02:00:00.000
Яндекс,1342,2025-01-24 02:00:00.000
Mail.ru,29,2025-01-24 02:00:00.000
ВКонтакте,69,2025-01-25 02:00:00.000
Яндекс,1325,2025-01-25 02:00:00.000
Mail.ru,11,2025-01-25 02:00:00.000
ВКонтакте,77,2025-01-26 02:00:00.000
Яндекс,1128,2025-01-26 02:00:00.000
Mail.ru,12,2025-01-26 02:00:00.000
ВКонтакте,75,2025-01-27 02:00:00.000
Яндекс,1175,2025-01-27 02:00:00.000
Mail.ru,28,2025-01-27 02:00:00.000
ВКонтакте,67,2025-01-28 02:00:00.000
Яндекс,1178,2025-01-28 02:00:00.000
Mail.ru,20,2025-01-28 02:00:00.000
ВКонтакте,61,2025-01-29 02:00:00.000
Яндекс,1146,2025-01-29 02:00:00.000
Mail.ru,25,2025-01-29 02:00:00.000
ВКонтакте,57,2025-01-30 02:00:00.000
Яндекс,715,2025-01-30 02:00:00.000
Mail.ru,21,2025-01-30 02:00:00.000
ВКонтакте,52,2025-01-31 02:00:00.000
Яндекс,1009,2025-01-31 02:00:00.000
Mail.ru,13,2025-01-31 02:00:00.000
ВКонтакте,116,2025-02-01 02:00:00.000
Яндекс,1179,2025-02-01 02:00:00.000
Mail.ru,16,2025-02-01 02:00:00.000
ВКонтакте,46,2025-02-02 02:00:00.000
Яндекс,1043,2025-02-02 02:00:00.000
Mail.ru,14,2025-02-02 02:00:00.000
ВКонтакте,61,2025-02-03 02:00:00.000
Яндекс,1115,2025-02-03 02:00:00.000
Mail.ru,136,2025-02-03 02:00:00.000
ВКонтакте,149,2025-02-04 02:00:00.000
Яндекс,1013,2025-02-04 02:00:00.000
Mail.ru,22,2025-02-04 02:00:00.000
ВКонтакте,302,2025-02-05 02:00:00.000
Яндекс,1464,2025-02-05 02:00:00.000
Mail.ru,16,2025-02-05 02:00:00.000
ВКонтакте,69,2025-02-06 02:00:00.000
Яндекс,1372,2025-02-06 02:00:00.000
Mail.ru,16,2025-02-06 02:00:00.000
ВКонтакте,64,2025-02-07 02:00:00.000
Яндекс,1361,2025-02-07 02:00:00.000
Mail.ru,24,2025-02-07 02:00:00.000
ВКонтакте,41,2025-02-08 02:00:00.000
Яндекс,691,2025-02-08 02:00:00.000
Mail.ru,10,2025-02-08 02:00:00.000
ВКонтакте,91,2025-02-09 02:00:00.000
Яндекс,1063,2025-02-09 02:00:00.000
Mail.ru,16,2025-02-09 02:00:00.000
ВКонтакте,56,2025-02-10 02:00:00.000
