"pagename","pageviewcount","datetime"
ВКонтакте,609,2025-01-18 19:00:00.000
Яндекс,1254,2025-01-18 19:00:00.000
Mail.ru,73,2025-01-18 19:00:00.000
ВКонтакте,513,2025-01-19 19:00:00.000
Яндекс,1084,2025-01-19 19:00:00.000
Mail.ru,133,2025-01-19 19:00:00.000
ВКонтакте,657,2025-01-20 19:00:00.000
Яндекс,1213,2025-01-20 19:00:00.000
Mail.ru,110,2025-01-20 19:00:00.000
ВКонтакте,631,2025-01-21 19:00:00.000
Яндекс,1365,2025-01-21 19:00:00.000
Mail.ru,105,2025-01-21 19:00:00.000
ВКонтакте,487,2025-01-22 19:00:00.000
Яндекс,1313,2025-01-22 19:00:00.000
Mail.ru,231,2025-01-22 19:00:00.000
ВКонтакте,736,2025-01-23 19:00:00.000
Яндекс,1218,2025-01-23 19:00:00.000
Mail.ru,95,2025-01-23 19:00:00.000
ВКонтакте,1180,2025-01-24 19:00:00.000
Яндекс,1172,2025-01-24 19:00:00.000
Mail.ru,90,2025-01-24 19:00:00.000
ВКонтакте,513,2025-01-25 19:00:00.000
Яндекс,1150,2025-01-25 19:00:00.000
Mail.ru,67,2025-01-25 19:00:00.000
ВКонтакте,536,2025-01-26 19:00:00.000
Яндекс,1056,2025-01-26 19:00:00.000
Mail.ru,77,2025-01-26 19:00:00.000
ВКонтакте,521,2025-01-27 19:00:00.000
Яндекс,1208,2025-01-27 19:00:00.000
Mail.ru,202,2025-01-27 19:00:00.000
ВКонтакте,596,2025-01-28 19:00:00.000
Яндекс,1062,2025-01-28 19:00:00.000
Mail.ru,91,2025-01-28 19:00:00.000
ВКонтакте,685,2025-01-29 19:00:00.000
Яндекс,1081,2025-01-29 19:00:00.000
Mail.ru,99,2025-01-29 19:00:00.000
ВКонтакте,936,2025-01-30 19:00:00.000
Яндекс,1111,2025-01-30 19:00:00.000
Mail.ru,94,2025-01-30 19:00:00.000
ВКонтакте,515,2025-01-31 19:00:00.000
Яндекс,883,2025-01-31 19:00:00.000
Mail.ru,69,2025-01-31 19:00:00.000
ВКонтакте,399,2025-02-01 19:00:00.000
Яндекс,1065,2025-02-01 19:00:00.000
Mail.ru,53,2025-02-01 19:00:00.000
ВКонтакте,572,2025-02-02 19:00:00.000
Яндекс,1042,2025-02-02 19:00:00.000
Mail.ru,154,2025-02-02 19:00:00.000
ВКонтакте,464,2025-02-03 19:00:00.000
Яндекс,905,2025-02-03 19:00:00.000
Mail.ru,178,2025-02-03 19:00:00.000
ВКонтакте,981,2025-02-04 19:00:00.000
Яндекс,1211,2025-02-04 19:00:00.000
Mail.ru,90,2025-02-04 19:00:00.000
ВКонтакте,431,2025-02-05 19:00:00.000
Яндекс,1181,2025-02-05 19:00:00.000
Mail.ru,94,2025-02-05 19:00:00.000
ВКонтакте,246,2025-02-06 19:00:00.000
Яндекс,1217,2025-02-06 19:00:00.000
Mail.ru,70,2025-02-06 19:00:00.000
ВКонтакте,326,2025-02-07 19:00:00.000
Яндекс,765,2025-02-07 19:00:00.000
Mail.ru,50,2025-02-07 19:00:00.000
ВКонтакте,423,2025-02-08 19:00:00.000
Яндекс,961,2025-02-08 19:00:00.000
Mail.ru,61,2025-02-08 19:00:00.000
ВКонтакте,520,2025-02-09 19:00:00.000
Яндекс,1284,2025-02-09 19:00:00.000
Mail.ru,77,2025-02-09 19:00:00.000
ВКонтакте,372,2025-02-10 19:00:00.000
Яндекс,1404,2025-02-10 19:00:00.000
Mail.ru,196,2025-02-10 19:00:00.000
ВКонтакте,551,2025-02-11 19:00:00.000
Яндекс,1422,2025-02-11 19:00:00.000
Mail.ru,102,2025-02-11 19:00:00.000
ВКонтакте,449,2025-02-12 19:00:00.000
Яндекс,1318,2025-02-12 19:00:00.000
Mail.ru,273,2025-02-12 19:00:00.000
ВКонтакте,464,2025-02-13 19:00:00.000
Яндекс,1466,2025-02-13 19:00:00.000
Mail.ru,133,2025-02-13 19:00:00.000
ВКонтакте,654,2025-02-14 19:00:00.000
Яндекс,1447,2025-02-14 19:00:00.000
Mail.ru,57,2025-02-14 19:00:00.000
ВКонтакте,573,2025-02-15 19:00:00.000
Яндекс,1209,2025-02-15 19:00:00.000
Mail.ru,57,2025-02-15 19:00:00.000
ВКонтакте,1119,2025-02-16 19:00:00.000
Яндекс,1704,2025-02-16 19:00:00.000
Mail.ru,181,2025-02-16 19:00:00.000
ВКонтакте,1378,2025-02-17 19:00:00.000
Яндекс,1278,2025-02-17 19:00:00.000
Mail.ru,122,2025-02-17 19:00:00.000
ВКонтакте,1077,2025-02-18 19:00:00.000
Яндекс,1443,2025-02-18 19:00:00.000
Mail.ru,107,2025-02-18 19:00:00.000
ВКонтакте,1046,2025-02-19 19:00:00.000
Яндекс,1633,2025-02-19 19:00:00.000
Mail.ru,88,2025-02-19 19:00:00.000
ВКонтакте,909,2025-02-20 19:00:00.000
Яндекс,1320,2025-02-20 19:00:00.000
Mail.ru,83,2025-02-20 19:00:00.000
ВКонтакте,738,2025-02-21 19:00:00.000
Яндекс,1148,2025-02-21 19:00:00.000
Mail.ru,64,2025-02-21 19:00:00.000
ВКонтакте,936,2025-02-22 19:00:00.000
Яндекс,1491,2025-02-22 19:00:00.000
Mail.ru,81,2025-02-22 19:00:00.000
ВКонтакте,782,2025-02-23 19:00:00.000
Яндекс,1828,2025-02-23 19:00:00.000
Mail.ru,196,2025-02-23 19:00:00.000
ВКонтакте,836,2025-02-24 19:00:00.000
Яндекс,1444,2025-02-24 19:00:00.000
Mail.ru,94,2025-02-24 19:00:00.000
ВКонтакте,344,2025-02-25 19:00:00.000
Яндекс,1175,2025-02-25 19:00:00.000
Mail.ru,91,2025-02-25 19:00:00.000
ВКонтакте,448,2025-02-26 19:00:00.000
Яндекс,1510,2025-02-26 19:00:00.000
Mail.ru,103,2025-02-26 19:00:00.000
ВКонтакте,310,2025-02-27 19:00:00.000
Яндекс,1553,2025-02-27 19:00:00.000
Mail.ru,209,2025-02-27 19:00:00.000
ВКонтакте,838,2025-02-28 19:00:00.000
Яндекс,1064,2025-02-28 19:00:00.000
Mail.ru,154,2025-02-28 19:00:00.000
ВКонтакте,550,2025-03-01 19:00:00.000
Яндекс,1398,2025-03-01 19:00:00.000
Mail.ru,189,2025-03-01 19:00:00.000
ВКонтакте,648,2025-03-02 19:00:00.000
Яндекс,1574,2025-03-02 19:00:00.000
Mail.ru,66,2025-03-02 19:00:00.000
ВКонтакте,705,2025-03-03 19:00:00.000
Яндекс,1858,2025-03-03 19:00:00.000
Mail.ru,100,2025-03-03 19:00:00.000
ВКонтакте,371,2025-03-04 19:00:00.000
Яндекс,1645,2025-03-04 19:00:00.000
Mail.ru,127,2025-03-04 19:00:00.000
ВКонтакте,473,2025-03-05 19:00:00.000
Яндекс,1321,2025-03-05 19:00:00.000
Mail.ru,110,2025-03-05 19:00:00.000
ВКонтакте,632,2025-03-06 19:00:00.000
Яндекс,1479,2025-03-06 19:00:00.000
Mail.ru,99,2025-03-06 19:00:00.000
ВКонтакте,258,2025-03-07 19:00:00.000
Яндекс,1512,2025-03-07 19:00:00.000
Mail.ru,110,2025-03-07 19:00:00.000
ВКонтакте,159,2025-03-08 19:00:00.000
Яндекс,1296,2025-03-08 19:00:00.000
Mail.ru,45,2025-03-08 19:00:00.000
ВКонтакте,297,2025-03-09 19:00:00.000
Яндекс,1374,2025-03-09 19:00:00.000
Mail.ru,64,2025-03-09 19:00:00.000
ВКонтакте,317,2025-03-10 19:00:00.000
Яндекс,1492,2025-03-10 19:00:00.000
Mail.ru,60,2025-03-10 19:00:00.000
ВКонтакте,297,2025-03-11 19:00:00.000
Яндекс,1373,2025-03-11 19:00:00.000
Mail.ru,68,2025-03-11 19:00:00.000
ВКонтакте,277,2025-03-12 19:00:00.000
Яндекс,1459,2025-03-12 19:00:00.000
Mail.ru,76,2025-03-12 19:00:00.000
ВКонтакте,335,2025-03-13 19:00:00.000
Яндекс,1320,2025-03-13 19:00:00.000
Mail.ru,68,2025-03-13 19:00:00.000
ВКонтакте,207,2025-03-14 19:00:00.000
Яндекс,1325,2025-03-14 19:00:00.000
Mail.ru,50,2025-03-14 19:00:00.000
ВКонтакте,179,2025-03-15 19:00:00.000
Яндекс,948,2025-03-15 19:00:00.000
Mail.ru,53,2025-03-15 19:00:00.000
ВКонтакте,244,2025-03-16 19:00:00.000
Яндекс,1187,2025-03-16 19:00:00.000
Mail.ru,58,2025-03-16 19:00:00.000
ВКонтакте,261,2025-03-17 19:00:00.000
Яндекс,1195,2025-03-17 19:00:00.000
Mail.ru,94,2025-03-17 19:00:00.000
ВКонтакте,216,2025-03-18 19:00:00.000
Яндекс,1028,2025-03-18 19:00:00.000
Mail.ru,73,2025-03-18 19:00:00.000
ВКонтакте,191,2025-03-19 19:00:00.000
Яндекс,898,2025-03-19 19:00:00.000
Mail.ru,66,2025-03-19 19:00:00.000
ВКонтакте,200,2025-03-20 19:00:00.000
Яндекс,1020,2025-03-20 19:00:00.000
Mail.ru,31,2025-03-20 19:00:00.000
ВКонтакте,93,2025-03-21 19:00:00.000
Яндекс,617,2025-03-21 19:00:00.000
Mail.ru,19,2025-03-21 19:00:00.000
ВКонтакте,193,2025-03-22 19:00:00.000
Яндекс,622,2025-03-22 19:00:00.000
Mail.ru,24,2025-03-22 19:00:00.000
ВКонтакте,272,2025-03-23 19:00:00.000
Яндекс,881,2025-03-23 19:00:00.000
Mail.ru,84,2025-03-23 19:00:00.000
ВКонтакте,198,2025-03-24 19:00:00.000
Яндекс,883,2025-03-24 19:00:00.000
Mail.ru,29,2025-03-24 19:00:00.000
ВКонтакте,258,2025-03-25 19:00:00.000
Яндекс,942,2025-03-25 19:00:00.000
Mail.ru,40,2025-03-25 19:00:00.000
ВКонтакте,180,2025-03-26 19:00:00.000
Яндекс,975,2025-03-26 19:00:00.000
Mail.ru,47,2025-03-26 19:00:00.000
ВКонтакте,205,2025-03-27 19:00:00.000
Яндекс,863,2025-03-27 19:00:00.000
Mail.ru,40,2025-03-27 19:00:00.000
ВКонтакте,99,2025-03-28 19:00:00.000
Яндекс,924,2025-03-28 19:00:00.000
Mail.ru,30,2025-03-28 19:00:00.000
ВКонтакте,106,2025-03-29 19:00:00.000
Яндекс,863,2025-03-29 19:00:00.000
Mail.ru,34,2025-03-29 19:00:00.000
ВКонтакте,232,2025-03-30 19:00:00.000
Яндекс,1013,2025-03-30 19:00:00.000
Mail.ru,31,2025-03-30 19:00:00.000
ВКонтакте,310,2025-03-31 19:00:00.000
Яндекс,856,2025-03-31 19:00:00.000
Mail.ru,25,2025-03-31 19:00:00.000
ВКонтакте,126,2025-04-01 19:00:00.000
Яндекс,729,2025-04-01 19:00:00.000
Mail.ru,44,2025-04-01 19:00:00.000
ВКонтакте,299,2025-04-02 19:00:00.000
Яндекс,892,2025-04-02 19:00:00.000
Mail.ru,32,2025-04-02 19:00:00.000
ВКонтакте,296,2025-04-03 19:00:00.000
Яндекс,806,2025-04-03 19:00:00.000
Mail.ru,50,2025-04-03 19:00:00.000
